month,month_name,quarter,quarter_name,time_id,year 
1,"January",1,"Q1",199501,1995
2,"February",1,"Q1",199502,1995
3,"March",1,"Q1",199503,1995
4,"April",2,"Q2",199504,1995
5,"May",2,"Q2",199505,1995
6,"June",2,"Q2",199506,1995
7,"July",3,"Q3",199507,1995
8,"August",3,"Q3",199508,1995
9,"September",3,"Q3",199509,1995
10,"October",4,"Q4",199510,1995
11,"November",4,"Q4",199511,1995
12,"December",4,"Q4",199512,1995
1,"January",1,"Q1",199601,1996
2,"February",1,"Q1",199602,1996
3,"March",1,"Q1",199603,1996
4,"April",2,"Q2",199604,1996
5,"May",2,"Q2",199605,1996
6,"June",2,"Q2",199606,1996
7,"July",3,"Q3",199607,1996
8,"August",3,"Q3",199608,1996
9,"September",3,"Q3",199609,1996
10,"October",4,"Q4",199610,1996
11,"November",4,"Q4",199611,1996
12,"December",4,"Q4",199612,1996
1,"January",1,"Q1",199701,1997
2,"February",1,"Q1",199702,1997
3,"March",1,"Q1",199703,1997
4,"April",2,"Q2",199704,1997
5,"May",2,"Q2",199705,1997
6,"June",2,"Q2",199706,1997
7,"July",3,"Q3",199707,1997
8,"August",3,"Q3",199708,1997
9,"September",3,"Q3",199709,1997
10,"October",4,"Q4",199710,1997
11,"November",4,"Q4",199711,1997
12,"December",4,"Q4",199712,1997
1,"January",1,"Q1",199801,1998
2,"February",1,"Q1",199802,1998
3,"March",1,"Q1",199803,1998
4,"April",2,"Q2",199804,1998
5,"May",2,"Q2",199805,1998
6,"June",2,"Q2",199806,1998
7,"July",3,"Q3",199807,1998
8,"August",3,"Q3",199808,1998
9,"September",3,"Q3",199809,1998
10,"October",4,"Q4",199810,1998
11,"November",4,"Q4",199811,1998
12,"December",4,"Q4",199812,1998
1,"January",1,"Q1",199901,1999
2,"February",1,"Q1",199902,1999
3,"March",1,"Q1",199903,1999
4,"April",2,"Q2",199904,1999
5,"May",2,"Q2",199905,1999
6,"June",2,"Q2",199906,1999
7,"July",3,"Q3",199907,1999
8,"August",3,"Q3",199908,1999
9,"September",3,"Q3",199909,1999
10,"October",4,"Q4",199910,1999
11,"November",4,"Q4",199911,1999
12,"December",4,"Q4",199912,1999
1,"January",1,"Q1",200001,2000
2,"February",1,"Q1",200002,2000
3,"March",1,"Q1",200003,2000
4,"April",2,"Q2",200004,2000
5,"May",2,"Q2",200005,2000
6,"June",2,"Q2",200006,2000
7,"July",3,"Q3",200007,2000
8,"August",3,"Q3",200008,2000
9,"September",3,"Q3",200009,2000
10,"October",4,"Q4",200010,2000
11,"November",4,"Q4",200011,2000
12,"December",4,"Q4",200012,2000
1,"January",1,"Q1",200101,2001
2,"February",1,"Q1",200102,2001
3,"March",1,"Q1",200103,2001
4,"April",2,"Q2",200104,2001
5,"May",2,"Q2",200105,2001
6,"June",2,"Q2",200106,2001
7,"July",3,"Q3",200107,2001
8,"August",3,"Q3",200108,2001
9,"September",3,"Q3",200109,2001
10,"October",4,"Q4",200110,2001
11,"November",4,"Q4",200111,2001
12,"December",4,"Q4",200112,2001
1,"January",1,"Q1",200201,2002
2,"February",1,"Q1",200202,2002
3,"March",1,"Q1",200203,2002
4,"April",2,"Q2",200204,2002
5,"May",2,"Q2",200205,2002
6,"June",2,"Q2",200206,2002
7,"July",3,"Q3",200207,2002
8,"August",3,"Q3",200208,2002
9,"September",3,"Q3",200209,2002
10,"October",4,"Q4",200210,2002
11,"November",4,"Q4",200211,2002
12,"December",4,"Q4",200212,2002
1,"January",1,"Q1",200301,2003
2,"February",1,"Q1",200302,2003
3,"March",1,"Q1",200303,2003
4,"April",2,"Q2",200304,2003
5,"May",2,"Q2",200305,2003
6,"June",2,"Q2",200306,2003
7,"July",3,"Q3",200307,2003
8,"August",3,"Q3",200308,2003
9,"September",3,"Q3",200309,2003
10,"October",4,"Q4",200310,2003
11,"November",4,"Q4",200311,2003
12,"December",4,"Q4",200312,2003
1,"January",1,"Q1",200401,2004
2,"February",1,"Q1",200402,2004
3,"March",1,"Q1",200403,2004
4,"April",2,"Q2",200404,2004
5,"May",2,"Q2",200405,2004
6,"June",2,"Q2",200406,2004
7,"July",3,"Q3",200407,2004
8,"August",3,"Q3",200408,2004
9,"September",3,"Q3",200409,2004
10,"October",4,"Q4",200410,2004
11,"November",4,"Q4",200411,2004
12,"December",4,"Q4",200412,2004
1,"January",1,"Q1",200501,2005
2,"February",1,"Q1",200502,2005
3,"March",1,"Q1",200503,2005
4,"April",2,"Q2",200504,2005
5,"May",2,"Q2",200505,2005
6,"June",2,"Q2",200506,2005
7,"July",3,"Q3",200507,2005
8,"August",3,"Q3",200508,2005
9,"September",3,"Q3",200509,2005
10,"October",4,"Q4",200510,2005
11,"November",4,"Q4",200511,2005
12,"December",4,"Q4",200512,2005
1,"January",1,"Q1",200601,2006
2,"February",1,"Q1",200602,2006
3,"March",1,"Q1",200603,2006
4,"April",2,"Q2",200604,2006
5,"May",2,"Q2",200605,2006
6,"June",2,"Q2",200606,2006
7,"July",3,"Q3",200607,2006
8,"August",3,"Q3",200608,2006
9,"September",3,"Q3",200609,2006
10,"October",4,"Q4",200610,2006
11,"November",4,"Q4",200611,2006
12,"December",4,"Q4",200612,2006
1,"January",1,"Q1",200701,2007
2,"February",1,"Q1",200702,2007
3,"March",1,"Q1",200703,2007
4,"April",2,"Q2",200704,2007
5,"May",2,"Q2",200705,2007
6,"June",2,"Q2",200706,2007
7,"July",3,"Q3",200707,2007
8,"August",3,"Q3",200708,2007
9,"September",3,"Q3",200709,2007
10,"October",4,"Q4",200710,2007
11,"November",4,"Q4",200711,2007
12,"December",4,"Q4",200712,2007
1,"January",1,"Q1",200801,2008
2,"February",1,"Q1",200802,2008
3,"March",1,"Q1",200803,2008
4,"April",2,"Q2",200804,2008
5,"May",2,"Q2",200805,2008
6,"June",2,"Q2",200806,2008
7,"July",3,"Q3",200807,2008
8,"August",3,"Q3",200808,2008
9,"September",3,"Q3",200809,2008
10,"October",4,"Q4",200810,2008
11,"November",4,"Q4",200811,2008
12,"December",4,"Q4",200812,2008
1,"January",1,"Q1",200901,2009
2,"February",1,"Q1",200902,2009
3,"March",1,"Q1",200903,2009
4,"April",2,"Q2",200904,2009
5,"May",2,"Q2",200905,2009
6,"June",2,"Q2",200906,2009
7,"July",3,"Q3",200907,2009
8,"August",3,"Q3",200908,2009
9,"September",3,"Q3",200909,2009
10,"October",4,"Q4",200910,2009
11,"November",4,"Q4",200911,2009
12,"December",4,"Q4",200912,2009
1,"January",1,"Q1",201001,2010
2,"February",1,"Q1",201002,2010
3,"March",1,"Q1",201003,2010
4,"April",2,"Q2",201004,2010
5,"May",2,"Q2",201005,2010
6,"June",2,"Q2",201006,2010
7,"July",3,"Q3",201007,2010
8,"August",3,"Q3",201008,2010
9,"September",3,"Q3",201009,2010
10,"October",4,"Q4",201010,2010
11,"November",4,"Q4",201011,2010
12,"December",4,"Q4",201012,2010
1,"January",1,"Q1",201101,2011
2,"February",1,"Q1",201102,2011
3,"March",1,"Q1",201103,2011
4,"April",2,"Q2",201104,2011
5,"May",2,"Q2",201105,2011
6,"June",2,"Q2",201106,2011
7,"July",3,"Q3",201107,2011
8,"August",3,"Q3",201108,2011
9,"September",3,"Q3",201109,2011
10,"October",4,"Q4",201110,2011
11,"November",4,"Q4",201111,2011
12,"December",4,"Q4",201112,2011
1,"January",1,"Q1",201201,2012
2,"February",1,"Q1",201202,2012
3,"March",1,"Q1",201203,2012
4,"April",2,"Q2",201204,2012
5,"May",2,"Q2",201205,2012
6,"June",2,"Q2",201206,2012
7,"July",3,"Q3",201207,2012
8,"August",3,"Q3",201208,2012
9,"September",3,"Q3",201209,2012
10,"October",4,"Q4",201210,2012
11,"November",4,"Q4",201211,2012
12,"December",4,"Q4",201212,2012
1,"January",1,"Q1",201301,2013
2,"February",1,"Q1",201302,2013
3,"March",1,"Q1",201303,2013
4,"April",2,"Q2",201304,2013
5,"May",2,"Q2",201305,2013
6,"June",2,"Q2",201306,2013
7,"July",3,"Q3",201307,2013
8,"August",3,"Q3",201308,2013
9,"September",3,"Q3",201309,2013
10,"October",4,"Q4",201310,2013
11,"November",4,"Q4",201311,2013
12,"December",4,"Q4",201312,2013
1,"January",1,"Q1",201401,2014
2,"February",1,"Q1",201402,2014
3,"March",1,"Q1",201403,2014
4,"April",2,"Q2",201404,2014
5,"May",2,"Q2",201405,2014
6,"June",2,"Q2",201406,2014
7,"July",3,"Q3",201407,2014
8,"August",3,"Q3",201408,2014
9,"September",3,"Q3",201409,2014
10,"October",4,"Q4",201410,2014
11,"November",4,"Q4",201411,2014
12,"December",4,"Q4",201412,2014
1,"January",1,"Q1",201501,2015
2,"February",1,"Q1",201502,2015
3,"March",1,"Q1",201503,2015
4,"April",2,"Q2",201504,2015
5,"May",2,"Q2",201505,2015
6,"June",2,"Q2",201506,2015
7,"July",3,"Q3",201507,2015
8,"August",3,"Q3",201508,2015
9,"September",3,"Q3",201509,2015
10,"October",4,"Q4",201510,2015
11,"November",4,"Q4",201511,2015
12,"December",4,"Q4",201512,2015
1,"January",1,"Q1",201601,2016
2,"February",1,"Q1",201602,2016
3,"March",1,"Q1",201603,2016
4,"April",2,"Q2",201604,2016
5,"May",2,"Q2",201605,2016
6,"June",2,"Q2",201606,2016
7,"July",3,"Q3",201607,2016
8,"August",3,"Q3",201608,2016
9,"September",3,"Q3",201609,2016
10,"October",4,"Q4",201610,2016
11,"November",4,"Q4",201611,2016
12,"December",4,"Q4",201612,2016
1,"January",1,"Q1",201701,2017
2,"February",1,"Q1",201702,2017
3,"March",1,"Q1",201703,2017
4,"April",2,"Q2",201704,2017
5,"May",2,"Q2",201705,2017
6,"June",2,"Q2",201706,2017
7,"July",3,"Q3",201707,2017
8,"August",3,"Q3",201708,2017
9,"September",3,"Q3",201709,2017
10,"October",4,"Q4",201710,2017
11,"November",4,"Q4",201711,2017
12,"December",4,"Q4",201712,2017
1,"January",1,"Q1",201801,2018
2,"February",1,"Q1",201802,2018
3,"March",1,"Q1",201803,2018
4,"April",2,"Q2",201804,2018
5,"May",2,"Q2",201805,2018
6,"June",2,"Q2",201806,2018
7,"July",3,"Q3",201807,2018
8,"August",3,"Q3",201808,2018
9,"September",3,"Q3",201809,2018
10,"October",4,"Q4",201810,2018
11,"November",4,"Q4",201811,2018
12,"December",4,"Q4",201812,2018
1,"January",1,"Q1",201901,2019
2,"February",1,"Q1",201902,2019
3,"March",1,"Q1",201903,2019
4,"April",2,"Q2",201904,2019
5,"May",2,"Q2",201905,2019
6,"June",2,"Q2",201906,2019
7,"July",3,"Q3",201907,2019
8,"August",3,"Q3",201908,2019
9,"September",3,"Q3",201909,2019
10,"October",4,"Q4",201910,2019
11,"November",4,"Q4",201911,2019
12,"December",4,"Q4",201912,2019
